Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Shroomish,Grass,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs),"1. Effect Spore, 2. Poison Heal, Quick Feet (hidden ability)","255 (33.3% with PokéBall, full HP)",59,Fluctuating,"50% male, 50% female",60,40,60,40,60,35
Shuckle,"Bug, Rock",Mold Pokémon,0.6 m (2′00″),20.5 kg (45.2 lbs),"1. Sturdy, 2. Gluttony, Contrary (hidden ability)","190 (24.8% with PokéBall, full HP)",177,Medium Slow,"50% male, 50% female",20,10,230,10,230,5
Shuppet,Ghost,Puppet Pokémon,0.6 m (2′00″),2.3 kg (5.1 lbs),"1. Insomnia, 2. Frisk, Cursed Body (hidden ability)","225 (29.4% with PokéBall, full HP)",59,Fast,"50% male, 50% female",44,75,35,63,33,45
Sigilyph,"Psychic, Flying",Avianoid Pokémon,1.4 m (4′07″),14.0 kg (30.9 lbs),"1. Wonder Skin, 2. Magic Guard, Tinted Lens (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",72,58,80,103,80,97
Silcoon,Bug,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,"120 (15.7% with PokéBall, full HP)",72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Silicobra,Ground,Sand Snake Pokémon,2.2 m (7′03″),7.6 kg (16.8 lbs),"1. Sand Spit, 2. Shed Skin, Sand Veil (hidden ability)","255 (33.3% with PokéBall, full HP)",63,Medium Fast,"50% male, 50% female",52,57,75,35,50,46
Silvally,Normal,Synthetic Pokémon,2.3 m (7′07″),100.5 kg (221.6 lbs),1. RKS System,"3 (0.4% with PokéBall, full HP)",257,Slow,Genderless,95,95,95,95,95,95
Simipour,Water,Geyser Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),"1. Gluttony, Torrent (hidden ability)","75 (9.8% with PokéBall, full HP)",174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Simisage,Grass,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs),"1. Gluttony, Overgrow (hidden ability)","75 (9.8% with PokéBall, full HP)",174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Simisear,Fire,Ember Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),"1. Gluttony, Blaze (hidden ability)","75 (9.8% with PokéBall, full HP)",174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Sinistcha,"Grass, Ghost",Matcha Pokémon,0.2 m (0′08″),2.2 kg (4.9 lbs),"1. Hospitality, Heatproof (hidden ability)","60 (7.8% with PokéBall, full HP)",—,Medium Fast,Genderless,71,60,106,121,80,70
Sinistea,Ghost,Black Tea Pokémon,0.1 m (0′04″),0.2 kg (0.4 lbs),"1. Weak Armor, Cursed Body (hidden ability)","120 (15.7% with PokéBall, full HP)",62,Medium Fast,Genderless,40,45,45,74,54,50
Sirfetch'd,Fighting,Wild Duck Pokémon,0.8 m (2′07″),117.0 kg (257.9 lbs),"1. Steadfast, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",177,Medium Fast,"50% male, 50% female",62,135,95,68,82,65
Sizzlipede,"Fire, Bug",Radiator Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs),"1. Flash Fire, 2. White Smoke, Flame Body (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",50,65,45,50,50,45
Skarmory,"Steel, Flying",Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs),"1. Keen Eye, 2. Sturdy, Weak Armor (hidden ability)","25 (3.3% with PokéBall, full HP)",163,Slow,"50% male, 50% female",65,80,140,40,70,70
Skeledirge,"Fire, Ghost",Singer Pokémon,1.6 m (5′03″),326.5 kg (719.8 lbs),"1. Blaze, Unaware (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",104,75,100,110,75,66
Skiddo,Grass,Mount Pokémon,0.9 m (2′11″),31.0 kg (68.3 lbs),"1. Sap Sipper, Grass Pelt (hidden ability)","200 (26.1% with PokéBall, full HP)",70,Medium Fast,"50% male, 50% female",66,65,48,62,57,52
Skiploom,"Grass, Flying",Cottonweed Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),"1. Chlorophyll, 2. Leaf Guard, Infiltrator (hidden ability)","120 (15.7% with PokéBall, full HP)",119,Medium Slow,"50% male, 50% female",55,45,50,45,65,80
Skitty,Normal,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),"1. Cute Charm, 2. Normalize, Wonder Skin (hidden ability)","255 (33.3% with PokéBall, full HP)",52,Fast,"25% male, 75% female",50,45,45,35,35,50
Skorupi,"Poison, Bug",Scorpion Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),"1. Battle Armor, 2. Sniper, Keen Eye (hidden ability)","120 (15.7% with PokéBall, full HP)",66,Slow,"50% male, 50% female",40,50,90,30,55,65
Skrelp,"Poison, Water",Mock Kelp Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),"1. Poison Point, 2. Poison Touch, Adaptability (hidden ability)","225 (29.4% with PokéBall, full HP)",64,Medium Fast,"50% male, 50% female",50,60,60,60,60,30
Skuntank,"Poison, Dark",Skunk Pokémon,1.0 m (3′03″),38.0 kg (83.8 lbs),"1. Stench, 2. Aftermath, Keen Eye (hidden ability)","60 (7.8% with PokéBall, full HP)",168,Medium Fast,"50% male, 50% female",103,93,67,71,61,84
Skwovet,Normal,Cheeky Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs),"1. Cheek Pouch, Gluttony (hidden ability)","255 (33.3% with PokéBall, full HP)",55,Medium Fast,"50% male, 50% female",70,55,55,35,35,25
Slaking,Normal,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs),1. Truant,"45 (5.9% with PokéBall, full HP)",285,Slow,"50% male, 50% female",150,160,100,95,65,100
Slakoth,Normal,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),1. Truant,"255 (33.3% with PokéBall, full HP)",56,Slow,"50% male, 50% female",60,60,60,35,35,30
Sliggoo,Dragon,Soft Tissue Pokémon,0.8 m (2′07″),17.5 kg (38.6 lbs),"1. Sap Sipper, 2. Hydration, Gooey (hidden ability)","45 (5.9% with PokéBall, full HP)",158,Slow,"50% male, 50% female",68,75,53,83,113,60
Hisuian Sliggoo,"Steel, Dragon",Snail Pokémon,0.7 m (2′04″),68.5 kg (151.0 lbs),"1. Sap Sipper, 2. Shell Armor, Gooey (hidden ability)","45 (5.9% with PokéBall, full HP)",158,Slow,"50% male, 50% female",58,75,83,83,113,40
Slither Wing,"Bug, Fighting",Paradox Pokémon,3.2 m (10′06″),92.0 kg (202.8 lbs),1. Protosynthesis,"30 (3.9% with PokéBall, full HP)",285,Slow,Genderless,85,135,79,85,105,81
Slowbro,"Water, Psychic",Hermit Crab Pokémon,1.6 m (5′03″),78.5 kg (173.1 lbs),"1. Oblivious, 2. Own Tempo, Regenerator (hidden ability)","75 (9.8% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",95,75,110,100,80,30
Galarian Slowbro,"Poison, Psychic",Hermit Crab Pokémon,1.6 m (5′03″),70.5 kg (155.4 lbs),"1. Quick Draw, 2. Own Tempo, Regenerator (hidden ability)","75 (9.8% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",95,100,95,100,70,30
Slowking,"Water, Psychic",Royal Pokémon,2.0 m (6′07″),79.5 kg (175.3 lbs),"1. Oblivious, 2. Own Tempo, Regenerator (hidden ability)","70 (9.1% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",95,75,80,100,110,30
Galarian Slowking,"Poison, Psychic",Hexpert Pokémon,1.8 m (5′11″),79.5 kg (175.3 lbs),"1. Curious Medicine, 2. Own Tempo, Regenerator (hidden ability)","70 (9.1% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",95,65,80,110,110,30
Slowpoke,"Water, Psychic",Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),"1. Oblivious, 2. Own Tempo, Regenerator (hidden ability)","190 (24.8% with PokéBall, full HP)",63,Medium Fast,"50% male, 50% female",90,65,65,40,40,15
Galarian Slowpoke,Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),"1. Gluttony, 2. Own Tempo, Regenerator (hidden ability)","190 (24.8% with PokéBall, full HP)",63,Medium Fast,"50% male, 50% female",90,65,65,40,40,15
Slugma,Fire,Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs),"1. Magma Armor, 2. Flame Body, Weak Armor (hidden ability)","190 (24.8% with PokéBall, full HP)",50,Medium Fast,"50% male, 50% female",40,40,40,70,40,20
Slurpuff,Fairy,Meringue Pokémon,0.8 m (2′07″),5.0 kg (11.0 lbs),"1. Sweet Veil, Unburden (hidden ability)","140 (18.3% with PokéBall, full HP)",168,Medium Fast,"50% male, 50% female",82,80,86,85,75,72
Smeargle,Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),"1. Own Tempo, 2. Technician, Moody (hidden ability)","45 (5.9% with PokéBall, full HP)",88,Fast,"50% male, 50% female",55,20,35,20,45,75
Smoliv,"Grass, Normal",Olive Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),"1. Early Bird, Harvest (hidden ability)","255 (33.3% with PokéBall, full HP)",52,Medium Slow,"50% male, 50% female",41,35,45,58,51,30
Smoochum,"Ice, Psychic",Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"1. Oblivious, 2. Forewarn, Hydration (hidden ability)","45 (5.9% with PokéBall, full HP)",61,Medium Fast,"0% male, 100% female",45,30,15,85,65,65
Sneasel,"Dark, Ice",Sharp Claw Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs),"1. Inner Focus, 2. Keen Eye, Pickpocket (hidden ability)","60 (7.8% with PokéBall, full HP)",86,Medium Slow,"50% male, 50% female",55,95,55,35,75,115
Hisuian Sneasel,"Fighting, Poison",Sharp Claw Pokémon,0.9 m (2′11″),27.0 kg (59.5 lbs),"1. Inner Focus, 2. Keen Eye, Pickpocket (hidden ability)","60 (7.8% with PokéBall, full HP)",86,Medium Slow,"50% male, 50% female",55,95,55,35,75,115
Sneasler,"Fighting, Poison",Free Climb Pokémon,1.3 m (4′03″),43.0 kg (94.8 lbs),"1. Pressure, 2. Unburden, Poison Touch (hidden ability)","20 (2.6% with PokéBall, full HP)",102,Medium Slow,"50% male, 50% female",80,130,60,40,80,120
Snivy,Grass,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs),"1. Overgrow, Contrary (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",45,45,55,45,55,63
Snom,"Ice, Bug",Worm Pokémon,0.3 m (1′00″),3.8 kg (8.4 lbs),"1. Shield Dust, Ice Scales (hidden ability)","190 (24.8% with PokéBall, full HP)",37,Medium Fast,"50% male, 50% female",30,25,35,45,30,20
Snorlax,Normal,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs),"1. Immunity, 2. Thick Fat, Gluttony (hidden ability)","25 (3.3% with PokéBall, full HP)",189,Slow,"87.5% male, 12.5% female",160,110,65,65,110,30
Snorunt,Ice,Snow Hat Pokémon,0.7 m (2′04″),16.8 kg (37.0 lbs),"1. Inner Focus, 2. Ice Body, Moody (hidden ability)","190 (24.8% with PokéBall, full HP)",60,Medium Fast,"50% male, 50% female",50,50,50,50,50,50
Snover,"Grass, Ice",Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs),"1. Snow Warning, Soundproof (hidden ability)","120 (15.7% with PokéBall, full HP)",67,Slow,"50% male, 50% female",60,62,50,62,60,40
Snubbull,Fairy,Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),"1. Intimidate, 2. Run Away, Rattled (hidden ability)","190 (24.8% with PokéBall, full HP)",60,Fast,"25% male, 75% female",60,80,50,40,40,30
Sobble,Water,Water Lizard Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Torrent, Sniper (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",50,40,40,70,40,70
Solgaleo,"Psychic, Steel",Sunne Pokémon,3.4 m (11′02″),230.0 kg (507.1 lbs),1. Full Metal Body,"45 (5.9% with PokéBall, full HP)",306,Slow,Genderless,137,137,107,113,89,97
Solosis,Psychic,Cell Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),"1. Overcoat, 2. Magic Guard, Regenerator (hidden ability)","200 (26.1% with PokéBall, full HP)",58,Medium Slow,"50% male, 50% female",45,30,40,105,50,20
Solrock,"Rock, Psychic",Meteorite Pokémon,1.2 m (3′11″),154.0 kg (339.5 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",161,Fast,Genderless,90,95,85,55,65,70
Spearow,"Normal, Flying",Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"1. Keen Eye, Sniper (hidden ability)","255 (33.3% with PokéBall, full HP)",52,Medium Fast,"50% male, 50% female",40,60,30,31,31,70
Spectrier,Ghost,Swift Horse Pokémon,2.0 m (6′07″),44.5 kg (98.1 lbs),1. Grim Neigh,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,100,65,60,145,80,130
Spewpa,Bug,Scatterdust Pokémon,0.3 m (1′00″),8.4 kg (18.5 lbs),"1. Shed Skin, Friend Guard (hidden ability)","120 (15.7% with PokéBall, full HP)",75,Medium Fast,"50% male, 50% female",45,22,60,27,30,29
Spheal,"Ice, Water",Clap Pokémon,0.8 m (2′07″),39.5 kg (87.1 lbs),"1. Thick Fat, 2. Ice Body, Oblivious (hidden ability)","255 (33.3% with PokéBall, full HP)",58,Medium Slow,"50% male, 50% female",70,40,50,55,50,25
Spidops,Bug,Trap Pokémon,1.0 m (3′03″),16.5 kg (36.4 lbs),"1. Insomnia, Stakeout (hidden ability)","120 (15.7% with PokéBall, full HP)",141,Erratic,"50% male, 50% female",60,79,92,52,86,35
Spinarak,"Bug, Poison",String Spit Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),"1. Swarm, 2. Insomnia, Sniper (hidden ability)","255 (33.3% with PokéBall, full HP)",50,Fast,"50% male, 50% female",40,60,40,40,40,30
Spinda,Normal,Spot Panda Pokémon,1.1 m (3′07″),5.0 kg (11.0 lbs),"1. Own Tempo, 2. Tangled Feet, Contrary (hidden ability)","255 (33.3% with PokéBall, full HP)",126,Fast,"50% male, 50% female",60,60,60,60,60,60
Spiritomb,"Ghost, Dark",Forbidden Pokémon,1.0 m (3′03″),108.0 kg (238.1 lbs),"1. Pressure, Infiltrator (hidden ability)","100 (13.1% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",50,92,108,92,108,35
Spoink,Psychic,Bounce Pokémon,0.7 m (2′04″),30.6 kg (67.5 lbs),"1. Thick Fat, 2. Own Tempo, Gluttony (hidden ability)","255 (33.3% with PokéBall, full HP)",66,Fast,"50% male, 50% female",60,25,35,70,80,60
Sprigatito,Grass,Grass Cat Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),"1. Overgrow, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",40,61,54,45,45,65
Spritzee,Fairy,Perfume Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Healer, Aroma Veil (hidden ability)","200 (26.1% with PokéBall, full HP)",68,Medium Fast,"50% male, 50% female",78,52,60,63,65,23
Squawkabilly Green Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)","190 (24.8% with PokéBall, full HP)",146,Erratic,"50% male, 50% female",82,96,51,45,51,92
Squawkabilly Blue Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)","190 (24.8% with PokéBall, full HP)",146,Erratic,"50% male, 50% female",82,96,51,45,51,92
Squawkabilly Yellow Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)","190 (24.8% with PokéBall, full HP)",146,Erratic,"50% male, 50% female",82,96,51,45,51,92
Squawkabilly White Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)","190 (24.8% with PokéBall, full HP)",146,Erratic,"50% male, 50% female",82,96,51,45,51,92
Squirtle,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Torrent, Rain Dish (hidden ability)","45 (5.9% with PokéBall, full HP)",63,Medium Slow,"87.5% male, 12.5% female",44,48,65,50,64,43
Stakataka,"Rock, Steel",Rampart Pokémon,5.5 m (18′01″),820.0 kg (1807.8 lbs),1. Beast Boost,"30 (3.9% with PokéBall, full HP)",257,Slow,Genderless,61,131,211,53,101,13
Stantler,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),"1. Intimidate, 2. Frisk, Sap Sipper (hidden ability)","45 (5.9% with PokéBall, full HP)",163,Slow,"50% male, 50% female",73,95,62,85,65,85
Staraptor,"Normal, Flying",Predator Pokémon,1.2 m (3′11″),24.9 kg (54.9 lbs),"1. Intimidate, Reckless (hidden ability)","45 (5.9% with PokéBall, full HP)",243,Medium Slow,"50% male, 50% female",85,120,70,50,60,100
Staravia,"Normal, Flying",Starling Pokémon,0.6 m (2′00″),15.5 kg (34.2 lbs),"1. Intimidate, Reckless (hidden ability)","120 (15.7% with PokéBall, full HP)",119,Medium Slow,"50% male, 50% female",55,75,50,40,40,80
Starly,"Normal, Flying",Starling Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"1. Keen Eye, Reckless (hidden ability)","255 (33.3% with PokéBall, full HP)",49,Medium Slow,"50% male, 50% female",40,55,30,30,30,60
Starmie,"Water, Psychic",Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)","60 (7.8% with PokéBall, full HP)",182,Slow,Genderless,60,75,85,100,85,115
Staryu,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)","225 (29.4% with PokéBall, full HP)",68,Slow,Genderless,30,45,55,70,55,85
Steelix,"Steel, Ground",Iron Snake Pokémon,9.2 m (30′02″),400.0 kg (881.8 lbs),"1. Rock Head, 2. Sturdy, Sheer Force (hidden ability)","25 (3.3% with PokéBall, full HP)",179,Medium Fast,"50% male, 50% female",75,85,200,55,65,30
Steenee,Grass,Fruit Pokémon,0.7 m (2′04″),8.2 kg (18.1 lbs),"1. Leaf Guard, 2. Oblivious, Sweet Veil (hidden ability)","120 (15.7% with PokéBall, full HP)",102,Medium Slow,"0% male, 100% female",52,40,48,40,48,62
Stonjourner,Rock,Big Rock Pokémon,2.5 m (8′02″),520.0 kg (1146.4 lbs),1. Power Spot,"60 (7.8% with PokéBall, full HP)",165,Slow,"50% male, 50% female",100,125,135,20,20,70
Stoutland,Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),"1. Intimidate, 2. Sand Rush, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",225,Medium Slow,"50% male, 50% female",85,110,90,45,90,80
Stufful,"Normal, Fighting",Flailing Pokémon,0.5 m (1′08″),6.8 kg (15.0 lbs),"1. Fluffy, 2. Klutz, Cute Charm (hidden ability)","140 (18.3% with PokéBall, full HP)",68,Medium Fast,"50% male, 50% female",70,75,50,45,50,50
Stunfisk,"Ground, Electric",Trap Pokémon,0.7 m (2′04″),11.0 kg (24.3 lbs),"1. Static, 2. Limber, Sand Veil (hidden ability)","75 (9.8% with PokéBall, full HP)",165,Medium Fast,"50% male, 50% female",109,66,84,81,99,32
Galarian Stunfisk,"Ground, Steel",Trap Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),1. Mimicry,"75 (9.8% with PokéBall, full HP)",165,Medium Fast,"50% male, 50% female",109,81,99,66,84,32
Stunky,"Poison, Dark",Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs),"1. Stench, 2. Aftermath, Keen Eye (hidden ability)","225 (29.4% with PokéBall, full HP)",66,Medium Fast,"50% male, 50% female",63,63,47,41,41,74
Sudowoodo,Rock,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"1. Sturdy, 2. Rock Head, Rattled (hidden ability)","65 (8.5% with PokéBall, full HP)",144,Medium Fast,"50% male, 50% female",70,100,115,30,65,30
Suicune,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),"1. Pressure, Inner Focus (hidden ability)","3 (0.4% with PokéBall, full HP)",261,Slow,Genderless,100,75,115,90,115,85
Sunflora,Grass,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)","120 (15.7% with PokéBall, full HP)",149,Medium Slow,"50% male, 50% female",75,75,55,105,85,30
Sunkern,Grass,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)","235 (30.7% with PokéBall, full HP)",36,Medium Slow,"50% male, 50% female",30,30,30,30,30,30
Surskit,"Bug, Water",Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),"1. Swift Swim, Rain Dish (hidden ability)","200 (26.1% with PokéBall, full HP)",54,Medium Fast,"50% male, 50% female",40,30,32,50,52,65
Swablu,"Normal, Flying",Cotton Bird Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),"1. Natural Cure, Cloud Nine (hidden ability)","255 (33.3% with PokéBall, full HP)",62,Erratic,"50% male, 50% female",45,40,60,40,75,50
Swadloon,"Bug, Grass",Leaf-Wrapped Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),"1. Leaf Guard, 2. Chlorophyll, Overcoat (hidden ability)","120 (15.7% with PokéBall, full HP)",133,Medium Slow,"50% male, 50% female",55,63,90,50,80,42
Swalot,Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),"1. Liquid Ooze, 2. Sticky Hold, Gluttony (hidden ability)","75 (9.8% with PokéBall, full HP)",163,Fluctuating,"50% male, 50% female",100,73,83,73,83,55
Swampert,"Water, Ground",Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),"1. Torrent, Damp (hidden ability)","45 (5.9% with PokéBall, full HP)",241,Medium Slow,"87.5% male, 12.5% female",100,110,90,85,90,60
Swanna,"Water, Flying",White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs),"1. Keen Eye, 2. Big Pecks, Hydration (hidden ability)","45 (5.9% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",75,87,63,87,63,98
Swellow,"Normal, Flying",Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),"1. Guts, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",159,Medium Slow,"50% male, 50% female",60,85,60,75,50,125
Swinub,"Ice, Ground",Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),"1. Oblivious, 2. Snow Cloak, Thick Fat (hidden ability)","225 (29.4% with PokéBall, full HP)",50,Slow,"50% male, 50% female",50,50,40,30,30,50
Swirlix,Fairy,Cotton Candy Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs),"1. Sweet Veil, Unburden (hidden ability)","200 (26.1% with PokéBall, full HP)",68,Medium Fast,"50% male, 50% female",62,48,66,59,57,49
Swoobat,"Psychic, Flying",Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs),"1. Unaware, 2. Klutz, Simple (hidden ability)","45 (5.9% with PokéBall, full HP)",149,Medium Fast,"50% male, 50% female",67,57,55,77,55,114
Sylveon,Fairy,Intertwining Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs),"1. Cute Charm, Pixilate (hidden ability)","45 (5.9% with PokéBall, full HP)",184,Medium Fast,"87.5% male, 12.5% female",95,65,65,110,130,60
Tadbulb,Electric,EleTadpole Pokémon,0.3 m (1′00″),0.4 kg (0.9 lbs),"1. Own Tempo, 2. Static, Damp (hidden ability)","190 (24.8% with PokéBall, full HP)",54,Medium Fast,"50% male, 50% female",61,31,41,59,35,45
Taillow,"Normal, Flying",TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),"1. Guts, Scrappy (hidden ability)","200 (26.1% with PokéBall, full HP)",54,Medium Slow,"50% male, 50% female",40,55,30,30,30,85
Talonflame,"Fire, Flying",Scorching Pokémon,1.2 m (3′11″),24.5 kg (54.0 lbs),"1. Flame Body, Gale Wings (hidden ability)","45 (5.9% with PokéBall, full HP)",175,Medium Slow,"50% male, 50% female",78,81,71,74,69,126
Tandemaus,Normal,Couple Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Run Away, 2. Pickup, Own Tempo (hidden ability)","150 (19.6% with PokéBall, full HP)",61,Fast,Genderless,50,50,45,40,45,75
Tangela,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),"1. Chlorophyll, 2. Leaf Guard, Regenerator (hidden ability)","45 (5.9% with PokéBall, full HP)",87,Medium Fast,"50% male, 50% female",65,55,115,100,40,60
Tangrowth,Grass,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs),"1. Chlorophyll, 2. Leaf Guard, Regenerator (hidden ability)","30 (3.9% with PokéBall, full HP)",187,Medium Fast,"50% male, 50% female",100,100,125,110,50,50
Tapu Bulu,"Grass, Fairy",Land Spirit Pokémon,1.9 m (6′03″),45.5 kg (100.3 lbs),"1. Grassy Surge, Telepathy (hidden ability)","3 (0.4% with PokéBall, full HP)",257,Slow,Genderless,70,130,115,85,95,75
Tapu Fini,"Water, Fairy",Land Spirit Pokémon,1.3 m (4′03″),21.2 kg (46.7 lbs),"1. Misty Surge, Telepathy (hidden ability)","3 (0.4% with PokéBall, full HP)",257,Slow,Genderless,70,75,115,95,130,85
Tapu Koko,"Electric, Fairy",Land Spirit Pokémon,1.8 m (5′11″),20.5 kg (45.2 lbs),"1. Electric Surge, Telepathy (hidden ability)","3 (0.4% with PokéBall, full HP)",257,Slow,Genderless,70,115,85,95,75,130
Tapu Lele,"Psychic, Fairy",Land Spirit Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),"1. Psychic Surge, Telepathy (hidden ability)","3 (0.4% with PokéBall, full HP)",257,Slow,Genderless,70,85,75,130,115,95
Tarountula,Bug,String Ball Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Insomnia, Stakeout (hidden ability)","255 (33.3% with PokéBall, full HP)",42,Erratic,"50% male, 50% female",35,41,45,29,40,20
Tatsugiri Curly Form,"Dragon, Water",Mimicry Pokémon,0.3 m (1′00″),8.0 kg (17.6 lbs),"1. Commander, Storm Drain (hidden ability)","100 (13.1% with PokéBall, full HP)",166,Medium Slow,"50% male, 50% female",68,50,60,120,95,82
Tatsugiri Droopy Form,"Dragon, Water",Mimicry Pokémon,0.3 m (1′00″),8.0 kg (17.6 lbs),—,"100 (13.1% with PokéBall, full HP)",166,Medium Slow,"50% male, 50% female",68,50,60,120,95,82
